iter	Passed	Remaining
0	46	46154
1	46	23188
2	46	15529
3	46	11695
4	47	9394
5	47	7859
6	47	6764
7	47	5941
8	48	5302
9	48	4791
10	48	4372
11	49	4044
12	49	3747
13	49	3492
14	49	3271
15	50	3077
16	50	2907
17	50	2754
18	50	2618
19	50	2496
20	51	2385
21	51	2284
22	51	2192
23	51	2107
24	52	2029
25	52	1956
26	52	1890
27	52	1828
28	52	1770
29	53	1717
30	53	1667
31	53	1620
32	53	1575
33	54	1534
34	54	1494
35	54	1457
36	54	1422
37	54	1389
38	55	1359
39	55	1338
40	56	1312
41	56	1290
42	56	1266
43	57	1241
44	57	1218
45	57	1196
46	57	1174
47	58	1155
48	58	1136
49	58	1116
50	59	1098
51	59	1080
52	59	1064
53	59	1048
54	60	1033
55	60	1017
56	60	1004
57	60	990
58	61	980
59	61	967
60	62	954
61	62	942
62	62	929
63	62	918
64	63	906
65	63	895
66	63	884
67	63	873
68	63	863
69	64	853
70	64	843
71	64	833
72	64	824
73	65	814
74	65	805
75	65	796
76	65	787
77	65	779
78	66	771
79	66	762
80	66	755
81	66	747
82	66	738
83	67	731
84	67	724
85	67	717
86	67	712
87	68	705
88	68	699
89	68	693
90	68	686
91	68	680
92	69	674
93	69	668
94	69	662
95	69	657
96	70	651
97	70	646
98	70	640
99	70	635
100	70	630
101	71	625
102	72	629
103	72	627
104	73	623
105	73	619
106	73	614
107	74	612
108	74	609
109	74	605
110	75	601
111	75	597
112	75	594
113	76	591
114	76	588
115	76	584
116	76	579
117	77	575
118	77	572
119	77	568
120	77	564
121	77	560
122	78	556
123	78	553
124	78	549
125	78	547
126	79	543
127	79	539
128	79	536
129	79	533
130	79	530
131	80	526
132	80	523
133	80	520
134	80	517
135	80	514
136	81	511
137	81	508
138	81	505
139	81	502
140	82	499
141	82	496
142	82	493
143	82	490
144	82	488
145	82	485
146	83	482
147	84	485
148	84	482
149	84	480
150	84	477
151	85	475
152	85	473
153	85	470
154	85	468
155	86	466
156	86	465
157	86	463
158	87	461
159	87	459
160	87	456
161	87	454
162	88	452
163	88	450
164	88	448
165	88	446
166	89	444
167	89	442
168	89	440
169	89	438
170	90	436
171	90	435
172	90	434
173	91	432
174	91	430
175	91	428
176	91	426
177	91	424
178	92	422
179	92	420
180	92	418
181	92	416
182	92	415
183	93	413
184	93	411
185	93	409
186	93	407
187	93	405
188	94	404
189	94	402
190	94	400
191	94	399
192	95	397
193	95	395
194	95	394
195	95	392
196	95	390
197	96	389
198	96	387
199	96	386
200	96	384
201	97	383
202	97	381
203	97	380
204	97	378
205	97	377
206	98	375
207	98	374
208	98	372
209	98	371
210	98	370
211	99	368
212	99	367
213	99	365
214	99	364
215	100	365
216	100	364
217	101	363
218	101	361
219	101	361
220	102	359
221	102	358
222	102	357
223	102	356
224	103	355
225	103	354
226	103	353
227	104	352
228	104	351
229	104	350
230	104	349
231	105	347
232	105	346
233	105	345
234	105	344
235	105	342
236	106	341
237	106	340
238	106	339
239	106	338
240	106	336
241	107	335
242	107	334
243	107	333
244	107	332
245	108	331
246	108	329
247	108	328
248	108	327
249	108	326
250	109	325
251	109	324
252	109	323
253	109	322
254	109	321
255	110	320
256	110	319
257	110	318
258	110	316
259	110	315
260	111	314
261	111	313
262	111	312
263	111	311
264	112	310
265	112	309
266	112	308
267	112	307
268	112	306
269	113	305
270	113	304
271	113	303
272	113	302
273	113	301
274	114	300
275	114	299
276	114	298
277	114	297
278	114	297
279	115	296
280	115	295
281	115	294
282	115	293
283	115	292
284	116	291
285	116	290
286	116	289
287	116	288
288	117	288
289	117	287
290	117	286
291	117	286
292	118	285
293	118	284
294	118	283
295	118	283
296	119	282
297	119	281
298	119	280
299	119	279
300	120	279
301	120	278
302	120	277
303	120	276
304	121	275
305	121	275
306	121	274
307	121	273
308	121	272
309	122	272
310	122	271
311	122	270
312	122	269
313	123	268
314	123	268
315	123	267
316	123	266
317	123	265
318	124	265
319	124	264
320	124	263
321	124	262
322	125	262
323	125	261
324	125	260
325	125	259
326	125	259
327	126	258
328	126	258
329	126	257
330	127	256
331	127	256
332	127	256
333	128	255
334	128	255
335	129	255
336	129	255
337	130	254
338	130	254
339	130	253
340	130	253
341	131	252
342	131	251
343	131	250
344	131	250
345	132	249
346	132	248
347	132	248
348	132	247
349	133	247
350	133	246
351	133	245
352	133	244
353	133	244
354	134	243
355	134	243
356	134	242
357	135	242
358	135	241
359	135	241
360	135	240
361	136	239
362	136	239
363	136	238
364	136	237
365	137	237
366	137	236
367	137	236
368	137	235
369	138	235
370	138	234
371	138	234
372	138	233
373	139	232
374	139	232
375	139	231
376	139	230
377	139	230
378	140	229
379	140	229
380	140	228
381	140	227
382	141	227
383	141	226
384	141	225
385	141	225
386	141	224
387	142	224
388	142	223
389	142	222
390	142	222
391	142	221
392	143	220
393	143	220
394	143	219
395	143	219
396	143	218
397	144	217
398	144	217
399	144	216
400	144	216
401	144	215
402	145	214
403	145	214
404	145	213
405	145	213
406	145	212
407	146	212
408	146	211
409	146	210
410	146	210
411	146	209
412	147	209
413	147	208
414	147	208
415	147	207
416	148	207
417	148	207
418	149	206
419	149	206
420	149	205
421	149	205
422	150	204
423	150	204
424	150	203
425	150	203
426	151	202
427	151	202
428	151	201
429	151	201
430	151	200
431	152	200
432	152	199
433	152	199
434	152	198
435	152	197
436	153	197
437	153	196
438	153	196
439	153	195
440	154	195
441	154	194
442	154	194
443	154	193
444	154	193
445	155	192
446	155	192
447	155	191
448	155	191
449	155	190
450	156	190
451	156	189
452	156	189
453	156	188
454	157	188
455	157	187
456	157	187
457	157	186
458	157	186
459	158	185
460	158	185
461	158	184
462	158	184
463	158	183
464	159	183
465	159	182
466	159	182
467	159	181
468	159	181
469	160	180
470	160	180
471	160	179
472	160	179
473	160	178
474	161	178
475	161	177
476	161	177
477	161	176
478	162	176
479	162	175
480	162	175
481	162	174
482	162	174
483	163	173
484	163	173
485	163	172
486	163	172
487	164	172
488	164	171
489	164	171
490	165	171
491	165	170
492	165	170
493	165	169
